"","Year","Site_code","Location","Sample_location","Mesh","Leaf","Person","Rep","Days","T_mu","DD","Initial_AFDM","Final_AFDM","k_ml","k_day_ml","k_dd_ml"
"131",2013,"MES","US1","2_U1","coarse","alder","P",6,40,4.845,193.8,3.215,2.24,0.361351491822634,0.00903378729556585,0.00186455878133454
"132",2013,"MES","US2","1_U2","coarse","alder","P",3,40,4.62,184.8,3.215,1.73,0.619705949179895,0.0154926487294974,0.00335338717088688
"133",2013,"MES","US2","1_U2","coarse","alder","S",4,40,4.62,184.8,3.215,2.27,0.348047526196271,0.00870118815490678,0.00188337405950363
"134",2013,"MES","US2","1_U2","coarse","alder","S",5,40,4.62,184.8,3.215,2.23,0.365825772217555,0.00914564430543888,0.00197957668948894
"135",2013,"MES","US2","1_U2","coarse","alder","P",6,40,4.62,184.8,3.215,2.3,0.334918234754479,0.00837295586886197,0.00181232811014328
"136",2013,"MES","US2","1_U2","coarse","alder","P",1,40,4.62,184.8,3.215,2.02,0.464729846276469,0.0116182461569117,0.00251477189543544
"137",2013,"MES","US2","1_U2","coarse","alder","S",2,40,4.62,184.8,3.215,2,0.474680177129637,0.0118670044282409,0.00256861567710843
"138",2013,"NIE","DS","3_D","coarse","alder","S",3,36,7.77222222222222,279.8,3.215,2.16,0.397719135993509,0.0110477537775975,0.00142144080054864
"139",2013,"NIE","DS","3_D","coarse","alder","M",4,36,7.77222222222222,279.8,3.215,0.53,1.80270563012555,0.0500751563923764,0.00644283641931934
"140",2013,"NIE","DS","3_D","coarse","alder","M",2,36,7.77222222222222,279.8,3.215,0.33,2.27648998221119,0.0632358328391998,0.00813613288853179
"141",2013,"NIE","DS","3_D","coarse","alder","S",1,36,7.77222222222222,279.8,3.215,0.47,1.92284994196762,0.0534124983879893,0.00687222995699648
"142",2013,"NIE","DS","3_D","coarse","alder","M",5,36,7.77222222222222,279.8,3.215,1.66,0.661009755321131,0.0183613820922536,0.0023624365808475
"144",2013,"NIE","US1","2_U1","coarse","alder","M",4,36,7.71111111111111,277.6,3.215,0.33,2.27648998221119,0.0632358328391998,0.00820061232785012
"145",2013,"NIE","US1","2_U1","coarse","alder","S",5,36,7.71111111111111,277.6,3.215,0.9,1.27318787334741,0.0353663298152058,0.00458641164750508
"146",2013,"NIE","US1","2_U1","coarse","alder","S",6,36,7.71111111111111,277.6,3.215,0.23,2.63750332774852,0.0732639813263479,0.00950109267920938
"149",2013,"NIE","US2","1_U2","coarse","alder","M",2,36,7.73888888888889,278.6,3.215,2.04,0.454877549833458,0.0126354874953738,0.00163272630952426
"150",2013,"NIE","US2","1_U2","coarse","alder","S",1,36,7.73888888888889,278.6,3.215,0.21,2.72847510595425,0.0757909751653959,0.00979352155762473
