Year,Name,Site,Location,Site_code,Mesh,Leaf,Rep,Dish,Dry,Ashed,AFDM,Initial_AFDM,Days,kdays,DD,Mean_daily_temp,kdd,Person
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,3,735,3.01,0.77,2.24,3.215,35,0.010324328,172,5,0.002104865,U
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,4,736,3.38,1,2.38,3.215,35,0.008592196,172,5,0.001751728,P
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,5,737,3.48,1.02,2.46,3.215,35,0.0076476,172,5,0.001559149,P
2013,Rothenthurm,ROT,DS,ROT,coarse,alder,6,738,3.12,0.73,2.39,3.215,35,0.0084724,172,5,0.001727304,M
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,1,757,3.27,0.76,2.51,3.215,35,0.007072703,155,4,0.001595297,S
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,2,758,3.55,0.95,2.6,3.215,35,0.006066169,155,4,0.001368266,M
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,3,759,3.32,0.92,2.4,3.215,35,0.008353103,155,4,0.0018841,P
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,4,760,3.77,1.25,2.52,3.215,35,0.006959099,155,4,0.001569673,M
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,5,761,0.78,0,0.78,3.215,35,0.040465392,155,4,0.009127249,S
2013,Rothenthurm,ROT,US1,ROT,coarse,alder,6,762,3.45,0.93,2.52,3.215,35,0.006959099,155,4,0.001569673,M
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,1,781,2.51,0.77,1.74,3.215,35,0.017541207,155,4,0.003956541,M
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,2,782,3.5,1.24,2.26,3.215,35,0.010070358,155,4,0.002271439,M
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,3,783,3.26,0.93,2.33,3.215,35,0.009198831,155,4,0.00207486,S
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,4,784,3.54,0.96,2.58,3.215,35,0.006286799,155,4,0.001418031,M
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,5,785,3.19,0.72,2.47,3.215,35,0.007531692,155,4,0.001698825,M
2013,Rothenthurm,ROT,US2,ROT,coarse,alder,6,786,3.08,0.7,2.38,3.215,35,0.008592196,155,4,0.001938029,M
2013,Severy,SEV,DS,SEV,coarse,alder,1,805,3.02,1.01,2.01,3.215,39,0.012043401,220,6,0.002134509,M
2013,Severy,SEV,DS,SEV,coarse,alder,2,806,3.53,1.17,2.36,3.215,39,0.007927327,220,6,0.001404998,S
2013,Severy,SEV,DS,SEV,coarse,alder,3,807,3.41,0.89,2.52,3.215,39,0.006245345,220,6,0.001106892,M
2013,Severy,SEV,DS,SEV,coarse,alder,4,808,3.05,0.77,2.28,3.215,39,0.008811588,220,6,0.001561719,U
2013,Severy,SEV,DS,SEV,coarse,alder,5,809,3.82,1.51,2.31,3.215,39,0.008476406,220,6,0.001502313,S
2013,Severy,SEV,DS,SEV,coarse,alder,6,810,2.66,0.59,2.07,3.215,39,0.011289199,220,6,0.002000838,M
2013,Severy,SEV,US1,SEV,coarse,alder,1,829,3.43,1.36,2.07,3.215,39,0.011289199,203,5,0.002173903,P
2013,Severy,SEV,US1,SEV,coarse,alder,2,830,2.28,0.54,1.74,3.215,39,0.015742109,203,5,0.003031377,P
2013,Severy,SEV,US1,SEV,coarse,alder,3,831,2.54,0.7,1.84,3.215,39,0.014309277,203,5,0.002755464,M
2013,Severy,SEV,US1,SEV,coarse,alder,4,832,2.28,0.66,1.62,3.215,39,0.01757439,203,5,0.00338421,P
2013,Severy,SEV,US1,SEV,coarse,alder,5,833,1.71,0.36,1.35,3.215,39,0.022249302,203,5,0.004284434,M
2013,Severy,SEV,US1,SEV,coarse,alder,6,834,2.22,0.59,1.63,3.215,39,0.017416599,203,5,0.003353825,M
2013,Severy,SEV,US2,SEV,coarse,alder,1,853,2.61,0.66,1.95,3.215,39,0.012820461,197,5,0.002536637,P
2013,Severy,SEV,US2,SEV,coarse,alder,2,854,2.49,0.66,1.83,3.215,39,0.01444901,197,5,0.002858859,P
2013,Severy,SEV,US2,SEV,coarse,alder,3,855,2.91,0.91,2,3.215,39,0.012171287,197,5,0.002408192,S
2013,Severy,SEV,US2,SEV,coarse,alder,4,856,3.15,1.1,2.05,3.215,39,0.011538143,197,5,0.002282919,S
